epoch,learning_rate,current_lr,weight_decay,lambda_transform,batch_size,hidden_dim,dropout,activation,train_loss,train_real_ai_acc,train_real_ai_f1,train_transform_acc,train_transform_macro_f1,val_loss,val_real_ai_acc,val_real_ai_f1,val_transform_acc,val_transform_macro_f1
1,3e-05,3e-05,0.001,0.25,32,256,0.3,silu,0.23155225677015762,0.9335805198046276,0.9334333797834709,0.8157510071660309,0.8160856068271495,0.12647451218144568,0.9613725490196079,0.9621517771373679,0.9080392156862745,0.9076171001641308
2,3e-05,2.9817171857837798e-05,0.001,0.25,32,256,0.3,silu,0.07792463858920906,0.9868444507825591,0.9868313050926091,0.9191058504759528,0.9192222404606479,0.10283001365614873,0.9731372549019608,0.9732995517442994,0.9123529411764706,0.9131479916327869
3,3e-05,2.9273189266983036e-05,0.001,0.25,32,256,0.3,silu,0.05463349998933355,0.9928339691254591,0.9928355016931029,0.9319761845342079,0.9320087944466282,0.09640356263693642,0.9774509803921568,0.9774111176586132,0.9207843137254902,0.9203007235052064
4,3e-05,2.8381446884197268e-05,0.001,0.25,32,256,0.3,silu,0.04176556155491442,0.9951869941887411,0.9951869941887411,0.9458447716496132,0.9458817324980319,0.14875406745894282,0.9609803921568627,0.9619866284622731,0.9094117647058824,0.9099875918928427
5,3e-05,2.7163902366467976e-05,0.001,0.25,32,256,0.3,silu,0.03726933371623834,0.9955791650326214,0.9955796378154855,0.9540090555813041,0.9540188510049591,0.15430939593188026,0.9625490196078431,0.9635982466171146,0.9137254901960784,0.912910199267956
6,3e-05,2.5650535700620236e-05,0.001,0.25,32,256,0.3,silu,0.027148676549404133,0.997825234411209,0.9978263193528846,0.9601768333986952,0.9601710264111901,0.0995335428654125,0.9823529411764705,0.9823874755381604,0.926078431372549,0.926180734635484
7,3e-05,2.3878610996543234e-05,0.001,0.25,32,256,0.3,silu,0.025792091495125593,0.9976469749367178,0.9976468910439247,0.9658098327926129,0.9658059837959435,0.1137137334092575,0.9764705882352941,0.9761999206664023,0.9213725490196079,0.9215574474722055
8,3e-05,2.1891758921132275e-05,0.001,0.25,32,256,0.3,silu,0.020770288159585808,0.9985026204142751,0.998502567027952,0.9702663196548896,0.9702649794923346,0.11648207202115479,0.9811764705882353,0.9810800157666535,0.9119607843137255,0.9114933202460689
9,3e-05,1.9738902366467975e-05,0.001,0.25,32,256,0.3,silu,0.018588910746068752,0.9984313166244786,0.9984312606959498,0.974829762201861,0.9748267793534519,0.1084655882958688,0.981764705882353,0.9817037182766083,0.922156862745098,0.9226073972985397
10,3e-05,1.7473051805847434e-05,0.001,0.25,32,256,0.3,silu,0.016218509248642227,0.9987165317836643,0.9987168520102652,0.9776106100039217,0.9776137146327873,0.10745710405018911,0.9813725490196078,0.9813102498524493,0.9266666666666666,0.9266024455781668
11,3e-05,1.5150000000000002e-05,0.001,0.25,32,256,0.3,silu,0.011447891440924394,0.9993582658918322,0.9993582430119795,0.9825305714998752,0.9825316204862777,0.12593514318596208,0.9798039215686275,0.9799649873565455,0.9172549019607843,0.9174868358752235
12,3e-05,1.2826948194152578e-05,0.001,0.25,32,256,0.3,silu,0.009441793889758309,0.9999286962102035,0.9999287038357336,0.9850618560376484,0.9850623846080325,0.10767238264099932,0.9849019607843137,0.9849108367626886,0.9250980392156862,0.9253533890585608
13,3e-05,1.0561097633532033e-05,0.001,0.25,32,256,0.3,silu,0.007480166566410195,0.9999643481051018,0.9999643506470357,0.9875574886805234,0.9875588745983782,0.11354173477465178,0.9858823529411764,0.9858546168958743,0.9290196078431373,0.9289668778142911
14,3e-05,8.408241078867731e-06,0.001,0.25,32,256,0.3,silu,0.00628610238237947,1.0,1.0,0.9893044315305358,0.9893041964050351,0.13157020994608162,0.9821568627450981,0.9822022296107961,0.92,0.9202696662999174
15,3e-05,6.421389003456775e-06,0.001,0.25,32,256,0.3,silu,0.0054126183788334266,1.0,1.0,0.9904096402723804,0.9904101365606169,0.11359492134999064,0.9837254901960785,0.9836839001376056,0.9303921568627451,0.9305147294933942
16,3e-05,4.64946429937977e-06,0.001,0.25,32,256,0.3,silu,0.0036051918615876027,1.0,1.0,0.9928339691254591,0.9928340232718558,0.1277989133683435,0.9847058823529412,0.9846878680800942,0.9317647058823529,0.9320700714069851
17,3e-05,3.136097633532032e-06,0.001,0.25,32,256,0.3,silu,0.0028664708733007146,1.0,1.0,0.994331348711184,0.9943317103526274,0.12438022701933697,0.9852941176470589,0.9852739053602985,0.9354901960784314,0.9356010746920574
18,3e-05,1.9185531158027382e-06,0.001,0.25,32,256,0.3,silu,0.002174811296806579,1.0,1.0,0.9951869941887411,0.9951871874850967,0.1309725552894901,0.9850980392156863,0.9850804868472713,0.9372549019607843,0.937443409029409
19,3e-05,1.02681073301697e-06,0.001,0.25,32,256,0.3,silu,0.0016649434878507883,1.0,1.0,0.9962922029305857,0.9962923274476516,0.13528598474283868,0.9854901960784314,0.9854731056144483,0.94,0.9401402721456709
20,3e-05,4.828281421622058e-07,0.001,0.25,32,256,0.3,silu,0.001270380492874303,1.0,1.0,0.997326107882634,0.9973261326509246,0.14006534405134266,0.985686274509804,0.9856666012173572,0.9403921568627451,0.9405319828613413
